tpage_name	gene_symbol
MIR517A	MIR517A
MIR519A1	MIR519A1
MIR504	MIR504
CPLX3	CPLX3
TMEM91	TMEM91
HNRNPCL3	HNRNPCL3
GUSBP3	GUSBP3
PCP4L1	PCP4L1
NCF1B	NCF1B
SCARNA5	SCARNA5
MIR33B	MIR33B
MIR650	MIR650
CASC8	CASC8
PABPC1P2	PABPC1P2
DIRC3	DIRC3
SHISA9	SHISA9
MIR208B	MIR208B
MIR365B	MIR365B
PET100	PET100
CD64_(biology)	FCGR1C
TOMM6	TOMM6
MTRNR2L7	MTRNR2L7
TSNAX-DISC1	TSNAX-DISC1
MTRNR2L2	MTRNR2L2
MTRNR2L3	MTRNR2L3
MTRNR2L4	MTRNR2L4
MTRNR2L6	MTRNR2L6
MTRNR2L8	MTRNR2L8
MTRNR2L9	MTRNR2L9
MTRNR2L10	MTRNR2L10
HSFX1	HSFX1
ADAMTS9-AS2	ADAMTS9-AS2
PMF1-BGLAP	PMF1-BGLAP
PTGES3L-AARSD1	PTGES3L-AARSD1
AQP6	AQP6
CDR1_(gene)	CDR1
Cyclic_nucleotide-gated_channel_alpha_4	CNGA4
TEX28	TEX28
ADAM3A	ADAM3A
MEGF9	MEGF9
FGF11	FGF11
GGT3P	GGT3P
GML_(gene)	GML
Mu_hemoglobin	HBM
KCNA7	KCNA7
KIF25	KIF25
LY6H	LY6H
MAGEA5	MAGEA5
MAGEB3	MAGEB3
MT1L	MT1L
NAP1L3	NAP1L3
OR1F1	OR1F1
PNLIPRP1	PNLIPRP1
SNORA63	SNORA63
SPRR2C	SPRR2C
TCP10	TCP10
ZNF708	ZNF708
ZNF75A	ZNF75A
ZNF90	ZNF90
Zinc_finger_protein_121	ZNF121
ZNF132	ZNF132
ZNF154	ZNF154
ZNF157	ZNF157
ZNF225	ZNF225
PWAR5	PWAR5
DPF1	DPF1
TMEM187	TMEM187
PRSS12	PRSS12
MBL1P	MBL1P
PCDHGB4	PCDHGB4
DCHS1	DCHS1
KRT37	KRT37
ADAM7	ADAM7
VCY_(gene)	VCY
TMEM257	TMEM257
NPIPA1	NPIPA1
GPR52	GPR52
TSIX	TSIX
SLC22A14	SLC22A14
MTL5	MTL5
PCDHGA8	PCDHGA8
FAM131B	FAM131B
ZSCAN12	ZSCAN12
FRMPD4	FRMPD4
KIAA0087	KIAA0087
TRIL_(gene)	TRIL
TECPR2	TECPR2
DENND4B	DENND4B
ARHGAP25	ARHGAP25
SLC17A4	SLC17A4
ZNF197	ZNF197
IGSF6	IGSF6
DSCR4	DSCR4
TMEM5	TMEM5
PKDREJ	PKDREJ
ABCA10	ABCA10
FBXW10	FBXW10
MAB21L2	MAB21L2
SCGB1D1	SCGB1D1
RRH	RRH
CNPY3	CNPY3
PTTG2	PTTG2
C1QL1	C1QL1
PRDM7	PRDM7
GPR176	GPR176
GPR45	GPR45
RBPJL	RBPJL
ZNF510	ZNF510
KLHDC10	KLHDC10
DOPEY1	DOPEY1
UHRF1BP1L	UHRF1BP1L
FAM179B	FAM179B
NPIPB3	NPIPB3
N4BP3	N4BP3
DTX4	DTX4
TBC1D30	TBC1D30
ZNF629	ZNF629
KCNH3	KCNH3
ATP1B4	ATP1B4
OR52A1	OR52A1
POTEH	POTEH
PRPF40B	PRPF40B
C22orf31	C22orf31
ZNF324	ZNF324
ZNF345	ZNF345
PART1	PART1
TMEM186	TMEM186
PAMR1	PAMR1
TRIM58	TRIM58
OLFML2B	OLFML2B
ATRNL1	ATRNL1
LRRTM2	LRRTM2
ZNF500	ZNF500
CCDC69	CCDC69
TANC2	TANC2
KIF26A	KIF26A
OR2K2	OR2K2
GAGE2E	GAGE2E
SNORA67	SNORA67
GPR160	GPR160
TCL6	TCL6
SPINK4	SPINK4
BHLHE22	BHLHE22
ZBTB44	ZBTB44
GTPBP8	GTPBP8
PCDHB1	PCDHB1
PURG	PURG
PNMA3	PNMA3
FSCN3	FSCN3
HDDC2	HDDC2
TVP23B	TVP23B
CELA2B	CELA2B
PI15	PI15
RNFT1	RNFT1
ZNF117	ZNF117
State_University_of_New_York_at_Oneonta	SUCO
CABP2	CABP2
CES1P1	CES1P1
FTHL17	FTHL17
Glucose-6-phosphate_exchanger_SLC37A1	SLC37A1
ANKRD16	ANKRD16
FAM35A	FAM35A
SPATA6	SPATA6
CCNJ	CCNJ
PCDHB18	PCDHB18
PCDHB17	PCDHB17
GPN2	GPN2
BTN2A3P	BTN2A3P
ZCCHC10	ZCCHC10
GIN1	GIN1
ARHGEF38	ARHGEF38
PAQR5	PAQR5
TOR4A	TOR4A
CWC25	CWC25
TBC1D8B	TBC1D8B
ZSCAN32	ZSCAN32
C1orf159	C1orf159
TTC38	TTC38
SUSD4	SUSD4
TMEM51	TMEM51
ATP5SL	ATP5SL
SLFN12	SLFN12
FAM90A1	FAM90A1
TBCCD1	TBCCD1
ZNF532	ZNF532
CCDC87	CCDC87
TMEM143	TMEM143
RBM41	RBM41
C4orf19	C4orf19
ZNF444	ZNF444
GPRC5D	GPRC5D
MTMR8	MTMR8
KRBOX4	KRBOX4
BCAS4	BCAS4
ZNF334	ZNF334
IQCC	IQCC
FAM222B	FAM222B
TMEM184C	TMEM184C
DEPDC1B	DEPDC1B
PCDHGC4	PCDHGC4
PCDHGB5	PCDHGB5
PCDHGB2	PCDHGB2
PCDHGA9	PCDHGA9
PCDHGA6	PCDHGA6
PCDHGA5	PCDHGA5
PCDHGA3	PCDHGA3
PCDHGA1	PCDHGA1
PCDHB6	PCDHB6
FAM214A	FAM214A
BEX4	BEX4
BARHL1	BARHL1
THAP10	THAP10
MEIS3	MEIS3
C2orf83	C2orf83
NT5M	NT5M
Shenandoah_Valley_Regional_Airport	SHD
C14orf132	C14orf132
PRDM8	PRDM8
HYMAI	HYMAI
Ectonucleoside_triphosphate_diphosphohydrolase_7	ENTPD7
HRASLS	HRASLS
LYZL6	LYZL6
ASPHD2	ASPHD2
DANCR	DANCR
SLC24A3	SLC24A3
KIAA1143	KIAA1143
AMIGO1	AMIGO1
ZNF490	ZNF490
KCTD16	KCTD16
ALPK3	ALPK3
ZNF398	ZNF398
IGSF9	IGSF9
KLHL14	KLHL14
CFAP97	CFAP97
EBF4	EBF4
ZSWIM5	ZSWIM5
KIAA1522	KIAA1522
KIAA1586	KIAA1586
IGDCC4	IGDCC4
CCDC181	CCDC181
NEUROD4	NEUROD4
ZNF250	ZNF250
LY6G6D	LY6G6D
PRM3	PRM3
CARD18	CARD18
MESDC1	MESDC1
CACNG8	CACNG8
CACNG7	CACNG7
TMEM35	TMEM35
CDH26	CDH26
DUSP21	DUSP21
ZBED8	ZBED8
ANKEF1	ANKEF1
DMRTC2	DMRTC2
DMRTB1	DMRTB1
DMRTA1	DMRTA1
KIF9	KIF9
C17orf75	C17orf75
NECAB1	NECAB1
GPR135	GPR135
HIAT1	HIAT1
FAM160B2	FAM160B2
C11orf1	C11orf1
ETNPPL	ETNPPL
METTL4	METTL4
C17orf53	C17orf53
CYREN_(protein)	C7orf49
AUNIP	AUNIP
C7orf25	C7orf25
TMEM185B	TMEM185B
TMEM243	TMEM243
ZNF343	ZNF343
ZNF576	ZNF576
ZNF557	ZNF557
LRFN3	LRFN3
TTC13	TTC13
ABHD8	ABHD8
OCEL1	OCEL1
C1orf54	C1orf54
TMEM204	TMEM204
HSPBAP1	HSPBAP1
C1orf115	C1orf115
ELMO3	ELMO3
MCTP1	MCTP1
HHIPL2	HHIPL2
PTCD2	PTCD2
CATSPERB	CATSPERB
ARHGAP28	ARHGAP28
TMC7	TMC7
ATF7IP2	ATF7IP2
ZNF614	ZNF614
BAIAP2L2	BAIAP2L2
CCDC176	CCDC176
PQLC1	PQLC1
ZNF430	ZNF430
LRRC27	LRRC27
PRR7	PRR7
CPTP_(gene)	CPTP
TMEM177	TMEM177
ACTL8	ACTL8
TSSK3	TSSK3
EMC6	EMC6
PUS3	PUS3
RTP3	RTP3
SLC35G5	SLC35G5
MS4A8	MS4A8
RPS6KL1	RPS6KL1
SYT15	SYT15
MRO_(gene)	MRO
Tetraspanin_10	TSPAN10
PRSS27	PRSS27
SPATA9	SPATA9
TTC29	TTC29
TM2D1	TM2D1
WDR54	WDR54
ZNF394	ZNF394
LRRIQ1	LRRIQ1
METTL25	METTL25
ZMYND12	ZMYND12
DRC7	DRC7
ZCCHC9	ZCCHC9
Payment_Services_Directive	PSD2
ANKRD32	ANKRD32
HAGHL	HAGHL
ALKBH7	ALKBH7
TMEM107	TMEM107
MON1A	MON1A
NAA38	NAA38
METTL26	C16orf13
FAM195A	FAM195A
TMEM101	TMEM101
EFCAB7	EFCAB7
ZBTB37	ZBTB37
FNDC1	FNDC1
PLA2G12B	PLA2G12B
CARD6	CARD6
FUT10	FUT10
C19orf48	C19orf48
PPAPDC3	PPAPDC3
AGBL4	AGBL4
GPR128	GPR128
FAM104A	FAM104A
C8orf76	C8orf76
CCDC183	CCDC183
KNDC1	KNDC1
DISP2	DISP2
FHDC1	FHDC1
TPD52L3	TPD52L3
KIR3DX1	KIR3DX1
SYS1	SYS1
KIAA2013	KIAA2013
ZNF551	ZNF551
SAMD1	SAMD1
TGIF2LY	TGIF2LY
SEC11C	SEC11C
PAGE5	PAGE5
TMEM261	TMEM261
SCARF2	SCARF2
LMF2	LMF2
ZNF461	ZNF461
ZNF585B	ZNF585B
ZNF764	ZNF764
TMEM169	TMEM169
SDR42E1	SDR42E1
ZFAND4	ZFAND4
TRMT10A	TRMT10A
CACNA2D4	CACNA2D4
SERHL	SERHL
SFXN5	SFXN5
LIMS3	LIMS3
DTD2	DTD2
GTF3C6	GTF3C6
LINC00152	LINC00152
PHF21B	PHF21B
TMEM106A	TMEM106A
ODF3	ODF3
ZBED6CL	ZBED6CL
SIGLEC11	SIGLEC11
GPRIN1	GPRIN1
TMEM132B	TMEM132B
FHAD1	FHAD1
C1QTNF7	C1QTNF7
FLYWCH2	FLYWCH2
ZNF618	ZNF618
OMA1	OMA1
GPR146	GPR146
SLC5A11	SLC5A11
DIRC1	DIRC1
C8orf34	C8orf34
MRGPRD	MRGPRD
PPP1R27	PPP1R27
LEAP2	LEAP2
ART5	ART5
IP6K3	IP6K3
LOH12CR1	LOH12CR1
O-phosphoseryl-tRNASec_kinase	PSTK
ZNF488	ZNF488
LYZL2	LYZL2
CALHM3	CALHM3
SLC36A4	SLC36A4
SDR9C7	SDR9C7
BTBD11	BTBD11
FOXN4	FOXN4
CLBA1	C14orf79
ADSSL1_(gene)	ADSSL1
ISCA2	ISCA2
SLC25A29	SLC25A29
TARSL2	TARSL2
DCUN1D3	DCUN1D3
SPATA33	SPATA33
CCDC78	CCDC78
GPR139	GPR139
METTL23	METTL23
KIF19	KIF19
USP43	USP43
GGT6	GGT6
OR7D4	OR7D4
C19orf70	C19orf70
NLRP13	NLRP13
ZNF787	ZNF787
ZNF573	ZNF573
ZNF57	ZNF57
IRGQ	IRGQ
SHE_(gene)	SHE
ATXN7L2	ATXN7L2
DCST2	DCST2
DNAH14	DNAH14
ZNF648	ZNF648
UBXN10	UBXN10
C1orf131	C1orf131
NKAIN4	NKAIN4
VSTM2L	VSTM2L
SIRPD	SIRPD
Mont-Tremblant/Lac_Ouimet_Water_Aerodrome	CST9
BPIFB6	BPIFB6
ANKRD54	ANKRD54
PPP1R21	PPP1R21
TYW5	TYW5
NMS_(gene)	NMS
MBOAT2	MBOAT2
TRIM43	TRIM43
ICA1L	ICA1L
CCDC148	CCDC148
KCNH8	KCNH8
ZPLD1	ZPLD1
LYZL4	LYZL4
KLHL40	KLHL40
ZDHHC19	ZDHHC19
COL6A6	COL6A6
RTP1	RTP1
PABPC4L	PABPC4L
CPEB2	CPEB2
AASDH	AASDH
C4orf36	C4orf36
PACRGL	PACRGL
UGT3A1	UGT3A1
CAPSL	CAPSL
C5orf24	C5orf24
RIPPLY2	RIPPLY2
IRAK1BP1	IRAK1BP1
TAAR9	TAAR9
C6orf57	C6orf57
ZNF786	ZNF786
C7orf31	C7orf31
FAM92A1	FAM92A1
PTRH1	PTRH1
DGKK	DGKK
PTCHD1	PTCHD1
MAGEB10	MAGEB10
SPIN4	SPIN4
ASB5	ASB5
Simulated_Electronic_Launch_Minuteman	SELM
CCM2L	CCM2L
ZSWIM3	ZSWIM3
ASB15	ASB15
CWF19L2	CWF19L2
TMEM86A	TMEM86A
OR10A5	OR10A5
OR2AG1	OR2AG1
GLIPR1L2	GLIPR1L2
SLC38A6	SLC38A6
ISM2	ISM2
LYSMD4	LYSMD4
SPATA8	SPATA8
RLTPR	RLTPR
ZNF785	ZNF785
ZNF688	ZNF688
C16orf89	C16orf89
CFAP52	CFAP52
CCDC42	CCDC42
UNC45B	UNC45B
DHRS13	DHRS13
TMEM99	TMEM99
ZNF418	ZNF418
ZNF714	ZNF714
ZNF569	ZNF569
GNAS-AS1	GNAS-AS1
Plaque_reduction_neutralization_test	PRNT
BPIFB4	BPIFB4
HORMAD2	HORMAD2
DNAJB7	DNAJB7
FAM109B	FAM109B
ITPRIPL1	ITPRIPL1
PKI55	PKI55
PLB1	PLB1
ARL6IP6	ARL6IP6
ALS2CR11	ALS2CR11
SLC23A3	SLC23A3
MB21D2	MB21D2
RASGEF1B	RASGEF1B
TMEM167A	TMEM167A
ARSK	ARSK
TTC23L	TTC23L
CCDC167	CCDC167
IQUB	IQUB
SBDSP1	SBDSP1
VPS37D	VPS37D
TMEM65	TMEM65
ARHGAP36	ARHGAP36
RIBC1	RIBC1
AWAT2	AWAT2
HSFY2	HSFY2
CCDC67	CCDC67
LMNTD1	LMNTD1
CCDC60	CCDC60
ZNF519	ZNF519
ZNF610	ZNF610
ZNF600	ZNF600
ZNF320	ZNF320
ZNF540	ZNF540
SPRR4	SPRR4
KANK4	KANK4
CCDC116	CCDC116
LONRF2	LONRF2
PRSS35	PRSS35
C6orf118	C6orf118
OLFML2A	OLFML2A
ZNF675	ZNF675
METTL15	METTL15
IMMP1L	IMMP1L
FAM227B	FAM227B
GGN_(gene)	GGN
FAM76A	FAM76A
FOXD4L1	FOXD4L1
GABRR3	GABRR3
PLD6	PLD6
LRRC45	LRRC45
RDM1	RDM1
ADAM32	ADAM32
CCDC107	CCDC107
PDILT	PDILT
MPEG-1	MPEG1
DDIAS	DDIAS
RNF152	RNF152
UCMA	UCMA
CCDC162P	CCDC162P
TMEM217	TMEM217
ARMC12	ARMC12
FAM200A	FAM200A
KIAA1324L	KIAA1324L
SPESP1	SPESP1
TECRL	TECRL
Epoxide_hydrolase	EPHX4
SLC25A30	SLC25A30
FBXO33	FBXO33
LYG2	LYG2
CCDC110	CCDC110
NPB_(gene)	NPB
SERINC5	SERINC5
KLHL34	KLHL34
WFDC9	WFDC9
TAS2R30	TAS2R30
NSUN5P2	NSUN5P2
SEC14L3	SEC14L3
Rhamnogalacturonan_endolyase	RGL4
RAB40AL	RAB40AL
JAKMIP3	JAKMIP3
ZDHHC22	ZDHHC22
TMED8	TMED8
HEXDC	HEXDC
TTLL6	TTLL6
TMEM102	TMEM102
LINC00907	LINC00907
ZNF763	ZNF763
VSTM1	VSTM1
ODF3L2	ODF3L2
CYP4A22	CYP4A22
FAM102B	FAM102B
BTBD8	BTBD8
RIMKLA	RIMKLA
IAH1	IAH1
C3orf38	C3orf38
PRRT3	PRRT3
TPI1P2	TPI1P2
VN1R4	VN1R4
POTED	POTED
ZAR1	ZAR1
EMR4P	EMR4P
PPM1J	PPM1J
ST8SIA6	ST8SIA6
ANKRD42	ANKRD42
NANOS2	NANOS2
C1orf174	C1orf174
ZBTB8OS	ZBTB8OS
TRIML1	TRIML1
BEX5	BEX5
ZC3H12B	ZC3H12B
GOLGA6A	GOLGA6A
GPR148	GPR148
PAQR9	PAQR9
RTP2	RTP2
PFN3	PFN3
SOX2-OT	SOX2-OT
FAM195B	FAM195B
LINC00265	LINC00265
DNAAF3	DNAAF3
ZNF233	ZNF233
Bone_morphogenetic_protein_8A	BMP8A
ZBTB41	ZBTB41
C12orf42	C12orf42
CCDC178	CCDC178
ZNF699	ZNF699
NRROS	NRROS
TRIM73	TRIM73
ERCC6L2	ERCC6L2
TRIM74	TRIM74
RBMY1B	RBMY1B
CHKB-CPT1B	CHKB-CPT1B
KCTD8	KCTD8
KRTAP10-7	KRTAP10-7
AMIGO3	AMIGO3
C6orf120	C6orf120
GPR153	GPR153
SLC16A12	SLC16A12
C12orf75	C12orf75
Silent_Circle_Instant_Messaging_Protocol	SCIMP
ZNF470	ZNF470
RNF207	RNF207
C2orf68	C2orf68
MUSTN1	MUSTN1
TMEM212	TMEM212
GRXCR1	GRXCR1
PSMG4	PSMG4
KBTBD13	KBTBD13
OR3A4P	OR3A4P
HES3	HES3
Urate_oxidase	UOX
SUMO1P1	SUMO1P1
FLJ44635	FLJ44635
SPRED3	SPRED3
C15orf53	C15orf53
KNOP1	KNOP1
DEFB132	DEFB132
MCCD1	MCCD1
SAPCD1	SAPCD1
KLHL31	KLHL31
PRRT4	PRRT4
SNX30	SNX30
APOBEC4	APOBEC4
HAPLN4	HAPLN4
POTEG	POTEG
MIR136	MIR136
MIR153-2	MIR153-2
MIR188	MIR188
MIR219A2	MIR219A2
DDI1	DDI1
DENND6B	DENND6B
ASTL	ASTL
SLC22A20	SLC22A20
GPR179	GPR179
ZNF506	ZNF506
PSG8	PSG8
AKR1B15	AKR1B15
OR2A9P	OR2A9P
ZFAS1	ZFAS1
SULT1C3	SULT1C3
BPY2B	BPY2B
BPY2C	BPY2C
MIR323A	MIR323A
MIR345	MIR345
KPRP_(gene)	KPRP
H2AFB1	H2AFB1
PHOSPHO2	PHOSPHO2
MIR377	MIR377
RNF165	RNF165
WEE2	WEE2
C18orf32	C18orf32
LURAP1	LURAP1
ATXN7L3B	ATXN7L3B
MIR31HG	MIR31HG
MIR432	MIR432
MIR518B	MIR518B
MIR519D	MIR519D
MIR506	MIR506
POTEM	POTEM
SEPT7P2	SEPT7P2
C15orf62	C15orf62
LEKTI-2	SPINK9
CCDC168	CCDC168
CRNDE	CRNDE
LINC00461	LINC00461
RPL13AP3	RPL13AP3
SRGAP2C	SRGAP2C
PPIAL4B	PPIAL4B
LGALS9C	LGALS9C
MIR605	MIR605
RNF208	RNF208
MAGEA9B	MAGEA9B
SERF1B	SERF1B
DHRS4L1	DHRS4L1
HULC_(gene)	HULC
SNORD115-2	SNORD115-2
SNORD115-3	SNORD115-3
SNORD115-4	SNORD115-4
SNORD115-5	SNORD115-5
SNORD115-6	SNORD115-6
SNORD115-7	SNORD115-7
SNORD115-8	SNORD115-8
SNORD115-9	SNORD115-9
SNORD115-10	SNORD115-10
SNORD115-11	SNORD115-11
SNORD115-12	SNORD115-12
SNORD115-13	SNORD115-13
SNORD115-14	SNORD115-14
SNORD115-15	SNORD115-15
SNORD115-16	SNORD115-16
SNORD115-17	SNORD115-17
SNORD115-18	SNORD115-18
SNORD115-19	SNORD115-19
SNORD115-20	SNORD115-20
SNORD115-21	SNORD115-21
SNORD115-22	SNORD115-22
SNORD115-23	SNORD115-23
SNORD115-25	SNORD115-25
SNORD115-26	SNORD115-26
SNORD115-29	SNORD115-29
SNORD115-30	SNORD115-30
SNORD115-31	SNORD115-31
SNORD115-32	SNORD115-32
SNORD115-33	SNORD115-33
SNORD115-34	SNORD115-34
SNORD115-35	SNORD115-35
SNORD115-36	SNORD115-36
SNORD115-37	SNORD115-37
SNORD115-38	SNORD115-38
SNORD115-39	SNORD115-39
SNORD115-40	SNORD115-40
SNORD115-41	SNORD115-41
SNORD115-42	SNORD115-42
SNORD115-43	SNORD115-43
SNORD115-44	SNORD115-44
SNORD115-48	SNORD115-48
MIR874	MIR874
ZNF37BP	ZNF37BP
HSFX2	HSFX2
CAND1.11	CAND1.11
ERVMER34-1	ERVMER34-1
ZNF783	ZNF783
MIR1296	MIR1296
MIR1301	MIR1301
MIR1290	MIR1290
TMED7-TICAM2	TMED7-TICAM2
HOTTIP	HOTTIP
IGLL5	IGLL5
ARL17B	ARL17B
C16orf95	C16orf95
TARID	TARID
ARPC4-TTLL3	ARPC4-TTLL3
RBM14-RBM4	RBM14-RBM4
RPL17-C18orf32	RPL17-C18orf32
NEDD8-MDP1	NEDD8-MDP1
CORO7-PAM16	CORO7-PAM16
CHURC1-FNTB	CHURC1-FNTB
LINC-ROR	LINC-ROR
POTEB	POTEB
C5orf66	C5orf66
ERCC6-PGBD3	ERCC6-PGBD3
CASC17	CASC17
LOC101928448	LOC101928448
LOC101929231	LOC101929231
A2MP1	A2MP1
AOC2	AOC2
APOC1P1	APOC1P1
FOXD2	FOXD2
GLI4	GLI4
GPR20	GPR20
GPR32	GPR32
HLA-L	HLA-L
HMX2	HMX2
ISLR	ISLR
KCNS2	KCNS2
KRT82	KRT82
SLC22A18AS	SLC22A18AS
PMCHL1	PMCHL1
PMS2L2	PMS2L2
PMS2P4	PMS2P4
RFPL1	RFPL1
Canadarm	SRMS
TCF15	TCF15
GPR137B	GPR137B
ZNF70	ZNF70
ZNF221	ZNF221
ZNF140	ZNF140
ZSCAN26	ZSCAN26
ZNF215	ZNF215
ZNF223	ZNF223
ZNF112	ZNF112
TMEFF1	TMEFF1
OR6A2	OR6A2
RDH16	RDH16
JRKL	JRKL
RHBDL1	RHBDL1
PRY_(gene)	PRY
SEC22C	SEC22C
RASSF9	RASSF9
IGDCC3	IGDCC3
ZNF646	ZNF646
KIAA0125	KIAA0125
KBTBD11	KBTBD11
CELA3A	CELA3A
ZNF256	ZNF256
SMYD5	SMYD5
C1orf61	C1orf61
RFPL3	RFPL3
ZBTB6	ZBTB6
ZNF271P	ZNF271P
SPINT3	SPINT3
OCLM	OCLM
SMA4_(gene)	SMA4
HHLA3	HHLA3
Insulin_like_6	INSL6
NXPH4	NXPH4
NXPH2	NXPH2
SLITRK3	SLITRK3
GOLGA8A	GOLGA8A
ATP10B	ATP10B
TBC1D12	TBC1D12
ANGEL1	ANGEL1
PRG1	PRG1
ANKRD62P1-PARP4P3	ANKRD62P1-PARP4P3
FJX1	FJX1
TPSG1	TPSG1
ZNF337	ZNF337
OR1C1	OR1C1
DGCR5	DGCR5
GALNT8	GALNT8
OR7A17	OR7A17
OR10A3	OR10A3
OR11A1	OR11A1
OR10H3	OR10H3
VCX	VCX
OR7E24	OR7E24
OR7C2	OR7C2
OR7C1	OR7C1
OR4F4	OR4F4
OR1J2	OR1J2
SNORA69	SNORA69
SNORD50A	SNORD50A
SNORD24	SNORD24
ZNF285	ZNF285
KCNV1	KCNV1
TRPP3	PKD2L2
GPR162	GPR162
TP53TG5	TP53TG5
CECR6	CECR6
CDH20	CDH20
C16orf72	C16orf72
ZCCHC4	ZCCHC4
VILL	VILL
EMC9	EMC9
SSUH2	SSUH2
RRNAD1	RRNAD1
SS18L2	SS18L2
CDKN2A-AS1	CDKN2A-AS1
ANKMY1	ANKMY1
THEG	THEG
KRCC1	KRCC1
WDR83OS	WDR83OS
TMEM138	TMEM138
ZNF581	ZNF581
C11orf24	C11orf24
YBEY	YBEY
C21orf62-AS1	C21orf62-AS1
TSPEAR	TSPEAR
GPR173	GPR173
ETAA1	ETAA1
TRMT13	TRMT13
ASNSD1	ASNSD1
MIER2	MIER2
CRCT1	CRCT1
VSIG10	VSIG10
MAP10	MAP10
ZNF562	ZNF562
PPP1R14D	PPP1R14D
EXD3	EXD3
CT55	CT55
HRASLS2	HRASLS2
ACSM5	ACSM5
C19orf24	C19orf24
Transmembrane_protein_255A	TMEM255A
SLC35A5	SLC35A5
DZANK1	DZANK1
RNF121	RNF121
OLAH	OLAH
PPP4R1L	PPP4R1L
SLC35E3	SLC35E3
DDX60	DDX60
ANKRD10	ANKRD10
ZNF839	ZNF839
ERMARD	ERMARD
LRP2BP	LRP2BP
TSNAXIP1	TSNAXIP1
TEX2	TEX2
GOLGA6B	GOLGA6B
PCDHGB6	PCDHGB6
PCDHGB3	PCDHGB3
PCDHGB1	PCDHGB1
PCDHGA10	PCDHGA10
PCDHGA4	PCDHGA4
PCDHGB8P	PCDHGB8P
TEX15	TEX15
RNF17	RNF17
MOSPD1	MOSPD1
ASCL3	ASCL3
GPR137	GPR137
TMEM167B	TMEM167B
PAPOLB	PAPOLB
ADPRM	ADPRM
PLSCR2	PLSCR2
Zinc_finger_protein_695	ZNF695
RGL3	RGL3
SMIM8	SMIM8
TMEM63C	TMEM63C
FAM219B	FAM219B
ZNF248	ZNF248
HHATL	HHATL
KIAA1257	KIAA1257
ZNF624	ZNF624
ZNF319	ZNF319
KIAA1467	KIAA1467
ZNF492	ZNF492
LRFN1	LRFN1
Collagen,_type_XX,_alpha_1	COL20A1
USP29	USP29
ZFP14	ZFP14
ANKRD36B	ANKRD36B
HMHB1	HMHB1
CATSPERG	CATSPERG
ABHD17C	ABHD17C
CACNG6	CACNG6
CELF6	CELF6
CELF5	CELF5
MANBAL	MANBAL
MCUR1	MCUR1
FAM217B	FAM217B
OXCT2	OXCT2
LHX5	LHX5
IKZF5	IKZF5
CDH24	CDH24
TTC31	TTC31
HS3ST6	HS3ST6
LPPR2	LPPR2
EXO5	EXO5
RFX7	RFX7
CASD1	CASD1
RASAL3	RASAL3
PRAMEF2	PRAMEF2
C11orf95	C11orf95
METRN	METRN
GID4	GID4
C20orf195	C20orf195
C7orf26	C7orf26
TMEM223	TMEM223
GDPD3	GDPD3
IRX6	IRX6
ZBED2	ZBED2
OR2A4	OR2A4
NKAIN1	NKAIN1
ACSS3	ACSS3
CCDC121	CCDC121
C3orf52	C3orf52
OGFOD2	OGFOD2
C22orf29	C22orf29
MSANTD2	MSANTD2
EFCC1	EFCC1
FAM124B	FAM124B
Royal_Belgian_Football_Association	RBFA
ZNF671	ZNF671
MORN1	MORN1
CNTNAP3	CNTNAP3
C10orf95	C10orf95
LPPR3	LPPR3
TMEM62	TMEM62
ZNF556	ZNF556
ATHL1	ATHL1
TM2D3	TM2D3
CXorf21	CXorf21
ARHGAP39	ARHGAP39
APOL5	APOL5
OR2C3	OR2C3
LRRC3	LRRC3
MIR600HG	MIR600HG
HDHD3	HDHD3
SCRT1	SCRT1
CRISPLD1	CRISPLD1
KRTAP4-12	KRTAP4-12
TMEM120A	TMEM120A
SLC7A6OS	SLC7A6OS
C19orf44	C19orf44
MYH16_gene	MYH16
FAM188B	FAM188B
ANKRD20A1	ANKRD20A1
ZDHHC18	ZDHHC18
C9orf89	C9orf89
TMEM246	TMEM246
ZNF528	ZNF528
HHIPL1	HHIPL1
ZNF333	ZNF333
ACTRT3	ACTRT3
C14orf142	C14orf142
FAXC	FAXC
PageDoesNotExist	MT4
EBPL	EBPL
ACCS_(gene)	ACCS
ABHD1	ABHD1
B3GNT9	B3GNT9
ZNF577	ZNF577
MPV17L2	MPV17L2
ZNF607	ZNF607
LINC00467	LINC00467
POLR2J4	POLR2J4
HPDL	HPDL
FIZ1	FIZ1
MEDAG	MEDAG
TIGD5	TIGD5
FAM86B1	FAM86B1
MGC16025	MGC16025
TMEM128	TMEM128
TMEM241	TMEM241
LGALS12	LGALS12
ZIC5	ZIC5
CABS1	CABS1
Zinc_finger_homeobox_2	ZFHX2
DNAJC5B	DNAJC5B
MBD3L1	MBD3L1
GLB1L2	GLB1L2
WFDC8	WFDC8
ZNF766	ZNF766
TMEM41A	TMEM41A
C15orf57	C15orf57
LRRC46	LRRC46
SCRN2	SCRN2
SHF_(gene)	SHF
N4BP2L1	N4BP2L1
LRRC16B	LRRC16B
PPP1R3E	PPP1R3E
CCDC126	CCDC126
FAM104B	FAM104B
SPOCD1	SPOCD1
ZNF682	ZNF682
ZNF502	ZNF502
ZNF765	ZNF765
ZNF845	ZNF845
SMDT1	SMDT1
KIAA1919	KIAA1919
FDXACB1	FDXACB1
C11orf52	C11orf52
DUSP27	DUSP27
RCSD1	RCSD1
TMEM132C	TMEM132C
